id;name;description;start_date;end_date
1;saturate duh cautious;../fake-data/blob/hipster.txt;2026-04-01;2026-04-02
2;impassioned;../fake-data/blob/hipster.txt;2026-04-02;2026-04-01
3;under;../fake-data/blob/hipster.txt;2026-04-02;2026-04-02
4;fooey cooperative too;../fake-data/blob/hipster.txt;2026-04-02;2026-04-02
5;yippee cluttered;../fake-data/blob/hipster.txt;2026-04-01;2026-04-01
6;supposing stiffen antagonize;../fake-data/blob/hipster.txt;2026-04-01;2026-04-01
7;drive at far;../fake-data/blob/hipster.txt;2026-04-02;2026-04-02
8;dowse often;../fake-data/blob/hipster.txt;2026-04-01;2026-04-02
9;around yet unethically;../fake-data/blob/hipster.txt;2026-04-02;2026-04-02
10;insignificant though traditionalism;../fake-data/blob/hipster.txt;2026-04-02;2026-04-02
