id;title;description;due_date;priority;completed
1;neatly anenst;../fake-data/blob/hipster.txt;2026-04-02;3;true
2;of stall;../fake-data/blob/hipster.txt;2026-04-02;2;false
3;story plus;../fake-data/blob/hipster.txt;2026-04-02;5;true
4;contravene suffocate boyfriend;../fake-data/blob/hipster.txt;2026-04-02;9;false
5;confiscate scamper;../fake-data/blob/hipster.txt;2026-04-02;9;true
6;provision;../fake-data/blob/hipster.txt;2026-04-02;3;true
7;competent;../fake-data/blob/hipster.txt;2026-04-02;3;true
8;helplessly medium;../fake-data/blob/hipster.txt;2026-04-02;9;false
9;once;../fake-data/blob/hipster.txt;2026-04-02;3;true
10;vaguely clumsy pfft;../fake-data/blob/hipster.txt;2026-04-02;3;true
